#name  , nEmerging , ht   , pt0   , pt1   , pt2   , pt3   , met  , pu_dz , alpha3d_dz , 3d_sig , alpha3d , medAbsIp
cut0   ,  2        ,  800 ,  100  ,  100  ,  100  ,  100  ,    0 ,  2.5  , 0.01       ,    5   , 0.25    ,  0.05
cut1   ,  2        ,  800 ,  100  ,  100  ,  100  ,  100  ,    0 ,  2.5  , 0.01       ,    6   , 0.25    ,  0.08
cut2   ,  1        ,  800 ,  100  ,  100  ,  100  ,  100  ,  150 ,    4  , 0.01       ,   15   , 0.25    ,  0.15
cut3   ,  1        ,  800 ,  100  ,  100  ,  100  ,  100  ,  100 ,    4  , 0.01       ,   30   , 0.25    ,  0.15
cut4   ,  1        ,  800 ,  100  ,  100  ,  100  ,  100  ,  200 ,    4  , 0.01       ,   25   , 0.25    ,  0.15
cut5   ,  1        ,  800 ,  200  ,  150  ,  100  ,  100  ,  150 ,    4  , 0.01       ,   30   , 0.25    ,  0.15
cut6   ,  2        , 1100 ,  250  ,  250  ,  150  ,  100  ,    0 ,  2.5  , 0.01       ,    4   , 0.25    ,  0.05
cut7   ,  2        , 1000 ,  200  ,  150  ,  100  ,  100  ,    0 ,  2.5  , 0.01       ,    4   , 0.25    ,  0.05
cut8   ,  2        , 1000 ,  200  ,  150  ,  100  ,  100  ,    0 ,  2.5  , 0.01       ,    8   , 0.25    ,  0.05
cut9   ,  2        , 1000 ,  200  ,  150  ,  100  ,  100  ,    0 ,  2.5  , 0.01       ,    4   , 0.25    ,  0.08
cut10  ,  1        ,  800 ,  200  ,  150  ,  100  ,  100  ,  200 ,    4  , 0.01       ,   20   , 0.25    ,  0.15
